EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
5;1;3;1;25718;13/11/77;45;Colombiano;8100000;0;3348000;150000000;0;25/09/19;86840952,39;60;857;1
2;1;3;1;11001;28/11/73;48;Colombiano;3850000;0;1637000;810000000;0;6/05/19;53700000;60;;1
2;1;3;1;11001;28/11/73;48;Colombiano;3850000;0;1637000;810000000;0;6/05/19;65266663,45;59;;1
2;1;3;1;11001;28/11/73;48;Colombiano;3850000;0;1637000;810000000;0;8/04/20;2157874;2;;1
2;1;3;1;11001;28/11/73;48;Colombiano;3850000;0;1637000;810000000;0;6/05/24;2131128,1;2;;1
1;1;3;2;15531;8/11/75;47;COLOMBIANO;5000000;0;1775000;0;0;1/03/16;100000000;60;958;1
1;1;3;2;15531;8/11/75;47;COLOMBIANO;5000000;0;1775000;0;0;22/05/16;1533946;6;958;1
1;1;3;2;15531;8/11/75;47;COLOMBIANO;5000000;0;1775000;0;0;5/03/16;122158324,9;60;958;1
5;1;3;3;11001;7/11/77;45;Colombiano;5370000;0;3484000;0;0;25/05/18;50066366,2;43;;1
5;1;3;3;11001;7/11/77;45;Colombiano;5370000;0;3484000;0;0;20/12/17;46000000;48;;1
1;1;3;3;15673;8/12/76;45;Colombiano;18500000;0;18133059;4900000000;0;22/05/18;52453185,92;30;;1
1;1;3;3;15673;8/12/76;45;Colombiano;18500000;0;18133059;4900000000;0;16/11/17;55000000;36;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;17/05/19;4137412;24;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;26/05/20;10960179;24;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;18/04/20;53090830,41;34;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;13/02/18;65000000;60;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;18/03/18;88466663,15;59;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;28/11/20;1237013,43;6;;1
5;1;1;2;11001;25/01/77;45;Colombiano;3500000;0;1550000;0;0;18/11/20;8676806;19;;1
2;1;2;1;11001;21/01/79;43;COLOMBIANO;8467156;0;6066000;2400000000;0;3/11/16;66500000;48;;1
2;1;2;1;11001;21/01/79;43;COLOMBIANO;8467156;0;6066000;2400000000;0;7/03/17;71635100,26;44;;1
5;1;1;1;25754;18/11/77;45;Colombiano;11747727;0;8834000;180000000;0;5/10/17;114947924,9;54;943;1
5;1;1;1;25754;18/11/77;45;Colombiano;11747727;0;8834000;180000000;0;3/04/14;80000000;48;943;1
5;1;1;1;25754;18/11/77;45;Colombiano;11747727;0;8834000;180000000;0;31/03/17;95000000;60;943;1
5;1;1;1;25754;18/11/77;45;Colombiano;11747727;0;8834000;180000000;0;5/08/20;45588976,14;20;943;1
5;1;1;1;25754;18/11/77;45;Colombiano;11747727;0;8834000;180000000;0;5/12/20;39954000,2;16;943;1
2;1;2;3;11001;10/12/77;44;Colombiano;9788752;0;7869376;648000000;0;12/05/17;37000000;48;;1
2;1;2;3;11001;10/12/77;44;Colombiano;9788752;0;7869376;648000000;0;17/09/17;44120838,69;44;;1
1;1;3;3;11001;14/01/78;44;Colombiano;6950000;0;4475000;92000000;0;8/04/19;77486299,29;59;;1
1;1;3;3;11001;14/01/78;44;Colombiano;6950000;0;4475000;92000000;0;8/04/19;62000000;60;;1
5;1;3;3;11001;8/03/80;42;COLOMBIANO;6588492;0;2659802;60000000;0;3/08/15;72000000;60;878;1
5;1;3;3;11001;8/03/80;42;COLOMBIANO;6588492;0;2659802;60000000;0;22/08/16;2987556;6;878;1
5;1;3;3;11001;8/03/80;42;COLOMBIANO;6588492;0;2659802;60000000;0;5/08/15;81458962,47;60;878;1
2;1;2;3;25279;24/10/79;43;COLOMBIANO;9000000;0;6933000;0;0;27/04/17;50000000;36;;1
2;1;2;3;25279;24/10/79;43;COLOMBIANO;9000000;0;6933000;0;0;2/10/17;53685085,38;31;;1
5;1;2;2;50400;13/10/81;41;COLOMBIANO;2750000;0;1450000;0;0;28/11/14;20000000;24;941;1
4;1;2;3;11001;18/08/77;45;Colombiano;3500000;0;1550000;0;0;30/04/19;43000000;36;951;1
4;1;2;3;11001;18/08/77;45;Colombiano;3500000;0;1550000;0;0;1/05/19;48117698,58;36;951;1
5;1;3;3;11001;25/12/77;44;COLOMBIANO;5700000;0;2650000;240000000;0;15/10/14;59091621;36;889;1
5;1;3;3;11001;25/12/77;44;COLOMBIANO;5700000;0;2650000;240000000;0;23/06/17;8972460,27;4;889;1
1;1;2;1;11001;24/04/79;43;COLOMBIANO;2250000;0;550000;0;0;1/07/15;47000000;48;789;1
1;1;2;1;11001;24/04/79;43;COLOMBIANO;2250000;0;550000;0;0;9/02/16;48982729,06;41;789;1
5;1;2;1;BOGOTA;17/03/80;42;COLOMBIANO;5400000;NULL;2609000;170000000;NULL;6/12/12;68000000;48;939;1
1;1;2;3;11001;8/03/81;41;COLOMBIANO;4119221;NULL;1950360;0;NULL;25/11/13;60000000;48;797;1
